MAGEA1_HomSap	8286905bb2f7f51fe1923c680fb594ad	309	FunFam	G3DSA:1.10.10.1210:FF:000001	melanoma-associated antigen D1	181	307	5.3E-48	T	04-12-2025	-	-	-	-
MAGEA1_HomSap	8286905bb2f7f51fe1923c680fb594ad	309	Gene3D	G3DSA:1.10.10.1200	MAGE homology domain, winged helix WH1 motif	72	183	1.1E-35	T	04-12-2025	IPR041898	MAGE homology domain, winged helix WH1 motif	-	Reactome:R-HSA-114608|Reactome:R-HSA-193648|Reactome:R-HSA-3108214|Reactome:R-HSA-418889|Reactome:R-HSA-6785807|Reactome:R-HSA-9768919|Reactome:R-MMU-3108214|Reactome:R-MMU-9768919|Reactome:R-RNO-9768919|Reactome:R-SCE-114608|Reactome:R-SCE-3108214|Reactome:R-SPO-114608|Reactome:R-SPO-3108214|Reactome:R-SSC-9768919
MAGEA1_HomSap	8286905bb2f7f51fe1923c680fb594ad	309	ProSiteProfiles	PS50838	MAGE conserved domain profile.	102	301	81.985657	T	04-12-2025	IPR002190	MAGE homology domain	-	Reactome:R-HSA-114608|Reactome:R-HSA-193648|Reactome:R-HSA-3108214|Reactome:R-HSA-418889|Reactome:R-HSA-6785807|Reactome:R-HSA-9768919|Reactome:R-MMU-3108214|Reactome:R-MMU-9768919|Reactome:R-RNO-9768919|Reactome:R-SCE-114608|Reactome:R-SCE-3108214|Reactome:R-SPO-114608|Reactome:R-SPO-3108214|Reactome:R-SSC-9768919
MAGEA1_HomSap	8286905bb2f7f51fe1923c680fb594ad	309	Pfam	PF12440	Melanoma associated antigen family N terminal	5	89	1.2E-15	T	04-12-2025	IPR021072	Melanoma associated antigen, N-terminal	-	-
MAGEA1_HomSap	8286905bb2f7f51fe1923c680fb594ad	309	PANTHER	PTHR11736	MELANOMA-ASSOCIATED ANTIGEN  MAGE ANTIGEN	5	307	8.9E-98	T	04-12-2025	IPR037445	Melanoma-associated antigen	GO:0000122(PANTHER)|GO:0005634(PANTHER)|GO:0042826(PANTHER)	Reactome:R-HSA-114608|Reactome:R-HSA-193648|Reactome:R-HSA-3108214|Reactome:R-HSA-418889|Reactome:R-HSA-6785807|Reactome:R-HSA-9768919|Reactome:R-MMU-3108214|Reactome:R-MMU-9768919|Reactome:R-RNO-9768919|Reactome:R-SCE-114608|Reactome:R-SCE-3108214|Reactome:R-SPO-114608|Reactome:R-SPO-3108214|Reactome:R-SSC-9768919
MAGEA1_HomSap	8286905bb2f7f51fe1923c680fb594ad	309	SMART	SM01373	MAGE_2	109	279	2.9E-114	T	04-12-2025	IPR002190	MAGE homology domain	-	Reactome:R-HSA-114608|Reactome:R-HSA-193648|Reactome:R-HSA-3108214|Reactome:R-HSA-418889|Reactome:R-HSA-6785807|Reactome:R-HSA-9768919|Reactome:R-MMU-3108214|Reactome:R-MMU-9768919|Reactome:R-RNO-9768919|Reactome:R-SCE-114608|Reactome:R-SCE-3108214|Reactome:R-SPO-114608|Reactome:R-SPO-3108214|Reactome:R-SSC-9768919
MAGEA1_HomSap	8286905bb2f7f51fe1923c680fb594ad	309	Gene3D	G3DSA:1.10.10.1210	MAGE homology domain, winged helix WH2 motif	186	309	3.6E-43	T	04-12-2025	IPR041899	MAGE homology domain, winged helix WH2 motif	-	Reactome:R-HSA-114608|Reactome:R-HSA-193648|Reactome:R-HSA-3108214|Reactome:R-HSA-418889|Reactome:R-HSA-6785807|Reactome:R-HSA-9768919|Reactome:R-MMU-3108214|Reactome:R-MMU-9768919|Reactome:R-RNO-9768919|Reactome:R-SCE-114608|Reactome:R-SCE-3108214|Reactome:R-SPO-114608|Reactome:R-SPO-3108214|Reactome:R-SSC-9768919
MAGEA1_HomSap	8286905bb2f7f51fe1923c680fb594ad	309	MobiDBLite	mobidb-lite	consensus disorder prediction	45	64	-	T	04-12-2025	-	-	-	-
MAGEA1_HomSap	8286905bb2f7f51fe1923c680fb594ad	309	Pfam	PF01454	MAGE homology domain	109	274	5.2E-15	T	04-12-2025	IPR002190	MAGE homology domain	-	Reactome:R-HSA-114608|Reactome:R-HSA-193648|Reactome:R-HSA-3108214|Reactome:R-HSA-418889|Reactome:R-HSA-6785807|Reactome:R-HSA-9768919|Reactome:R-MMU-3108214|Reactome:R-MMU-9768919|Reactome:R-RNO-9768919|Reactome:R-SCE-114608|Reactome:R-SCE-3108214|Reactome:R-SPO-114608|Reactome:R-SPO-3108214|Reactome:R-SSC-9768919
MAGEA1_HomSap	8286905bb2f7f51fe1923c680fb594ad	309	SMART	SM01392	MAGE_N_2	3	89	3.2E-25	T	04-12-2025	IPR021072	Melanoma associated antigen, N-terminal	-	-
MAGEA1_HomSap	8286905bb2f7f51fe1923c680fb594ad	309	MobiDBLite	mobidb-lite	consensus disorder prediction	49	64	-	T	04-12-2025	-	-	-	-
MAGEA1_HomSap	8286905bb2f7f51fe1923c680fb594ad	309	FunFam	G3DSA:1.10.10.1200:FF:000002	MAGE family member A11	75	183	5.1E-54	T	04-12-2025	-	-	-	-
